581	Throwing grapes at a man until he loses touch with reality.	US
582	My Uber driver, Pavel.	US
583	The Hamburglar.	US
584	A stray pube.	US
585	White privilege.	US
586	Facebook.	US
587	Pac-Man uncontrollably guzzling cum.	US
588	Forced sterilization.	US
589	An Oedipus complex.	US
590	Scientology.	US
591	My fat daughter.	US
592	Active listening.	US
593	Vigorous jazz hands.	US
594	An M. Night Shyamalan plot twist.	US
595	The rhythms of Africa.	US
596	The homosexual agenda.	US
597	Having big dreams but no realistic way to achieve them.	US
598	A time travel paradox.	US
599	Lactation.	US
600	Dick fingers.	US
601	Dying.	US
602	My good bra.	US
603	Me time.	US
604	Smallpox blankets.	US
605	J.D. Power and his associates.	US
606	Seeing my father cry.	US
607	Seppuku.	US
608	Adderall.&reg;	US
609	Hot people.	US
610	Dead babies.	US
611	Not reciprocating oral sex.	US
612	50 mg of Zoloft daily.	US
613	A bleached asshole.	US
614	Flesh-eating bacteria.	US
615	Itchy pussy.	US
616	Foreskin.	US
617	Worshipping that pussy.	US
618	How far I can get my own penis up my butt.	US
619	World peace.	US
620	Expecting a burp and vomiting on the floor.	US
621	Kamikaze pilots.	US
622	Anal beads.	US
623	Being rich.	US
624	The Three-Fifths Compromise.	US
625	Shapeshifters.	US
626	Lockjaw.	US
627	Getting so angry that you pop a boner.	US
628	Child beauty pageants.	US
629	Breaking out into song and dance.	US
630	Pretending to care.	US
631	Waiting till marriage.	US
632	The wifi password.	US
633	Being a woman.	US
634	The past.	US
635	Catapults.	US
636	A lifetime of sadness.	US
637	Going an entire day without masturbating.	US
638	Dwayne "The Rock" Johnson.	US
639	A saxophone solo.	US
640	Being marginalized.	US
641	The penny whistle solo from "My Heart Will Go On."	US
642	A fart so powerful that it wakes the giants from their thousand-year slumber.	US
643	My genitals.	US
644	Little boy penises.	US
645	Punching a congressman in the face.	US
646	Some god damn peace and quiet.	US
647	BATMAN!	US
648	Ruth Bader Ginsburg brutally gaveling your penis.	US
649	Preteens.	US
650	More elephant cock than I bargained for.	US
651	Smegma.	US
652	A micropenis.	US
653	My ugly face and bad personality.	US
654	A good sniff.	US
655	Explaining how vaginas work.	US
656	Genuine human connection.	US
657	An old guy who's almost dead.	US
658	My cheating son-of-a-bitch husband.	US
659	Fox News.	US
660	Being a motherfucking sorcerer.	US
661	The Red Hot Chili Peppers.	US
662	Holding down a child and farting all over him.	US
663	The KKK.	US
664	Land mines.	US
665	Centaurs.	US
666	Seven dead and three in critical condition.	US
667	My relationship status.	US
668	A mating display.	US
669	Auschwitz.	US
670	Used panties.	US
671	Alcoholism.	US
672	Sexual peeing.	US
673	A windmill full of corpses.	US
674	Darth Vader.	US
675	Daniel Radcliffe's delicious asshole.	US
676	A good, strong gorilla.	US
677	Huffing spray paint.	US
678	Half-assed foreplay.	US
679	Nipple blades.	US
680	Being able to talk to elephants.	US
681	Making a pouty face.	US
682	Drowning the kids in the bathtub.	US
683	Emerging from the sea and rampaging through Tokyo.	US
684	Hospice care.	US
685	Magnets.	US
686	Touching a pug right on his penis.	US
687	Vladimir Putin.	US
688	Spontaneous human combustion.	US
689	Leprosy.	US
690	Seething with quiet resentment.	US
691	Explosions.	US
692	Licking things to claim them as your own.	US
693	Consensual sex.	US
694	Getting married, having a few kids, buying some stuff, retiring to Florida, and dying.	US
695	Nickelback.	US
696	The Boy Scouts of America.	US
697	Bananas.	US
698	Masturbating.	US
699	All the dues I've fucked.	US
700	Famine.	US
701	Hillary Clinton's emails.	US
702	Executing a hostage every hour.	US
703	Running out of semen.	US
704	Jews, gypsies, and homosexuals.	US
705	The arrival of the pizza.	US
706	Goblins.	US
707	Laying an egg.	US
708	A bowl of mayonnaise and human teeth.	US
709	A micropig wearing a tiny raincoat and booties.	US
710	A bitch slap.	US
711	Giving 110%.	US
712	Inserting a Mason jar into my anus.	US
713	A man on the brink of orgasm.	US
714	A much younger woman.	US
715	10,000 Syrian refugees.	US
716	A sad handjob.	US
717	Police brutality.	US
718	Throwing a virgin into a volcano.	US
719	A sea of troubles.	US
720	Multiple stab wounds.	US
721	Filling my briefcase with business stuff.	US
722	A tiny horse.	US
723	The Kool-Aid Man.	US
724	Grandma.	US
725	A bag of magic beans.	US
726	Doing the right thing.	US
727	Emma Watson.	US
728	Racism.	US
729	Powerful thighs.	US
730	Men.	US
731	Farting and walking away.	US
732	Pedophiles.	US
733	German Chancellor Angela Merkel.	US
734	Peeing a little bit.	US
735	Viagra.&reg;	US
736	Ronald Reagan.	US
737	Bisexuality.	US
738	The clitoris.	US
739	Soft, kissy missionary sex.	US
740	Sitting on my face and telling me I'm garbage.	US
741	A balanced breakfast.	US
742	Puberty.	US
743	Poor people.	US
744	Harry Potter erotica.	US
745	Penis breath.	US
746	Agriculture.	US
747	Committing suicide.	US
748	The heart of a child.	US
749	Aaron Burr.	US
750	Republicans.	US
751	Justin Bieber.	US
752	Concealing a boner.	US
753	Not vaccinating my children because I am stupid.	US
754	Judge Judy.	US
755	Sex with animals.	US
